ionA,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
In,10.0,0.6929696242140387,2.717417529877701,1.3740934233578164,2.80129540690659,6.732594835742791,10.0,10.0,0.4343598382788579,0.38897693177535775,0.1536603598839558,1.2099096846417297,1.179129931749845,62.0665005584188,6.872193761031173,0.8825487619616318,1.4374869294397215,0.26752208872232314,4.133596203382215,0.24892257697520837,0.27542492480279995,0.9207980782624093,0.5801697799067655,0.9893263127311896,0.4572112898341193,0.5797365850956608,0.7922807232479661,0.12747418183320858,2.9212750212158998,1.8066198660521948,1.216731184920165,7.8148921570497505,6.145613915678005,11.735375506973192,0.4150133048454206,2.266850885369146,0.9935882001405895,0.692610796232924,10.0,3.036952670168364,0.3218941450206556,1.5676753443494091,0.3268322795271352,0.7533004219251566,0.0,1.047707541365653,0.4333455276187252,3.976493616857113,6.205323666132986,1.5189176166060185,39.312476432267765,3.552842872146686,0.7375381087809074,1.9037019114710516,1.32985177663385,1.1257349434232093,1.1257349434232093,0.5896572597213201,0.40446520718734846,0.8014994826194225,0.38702199147067723,0.34745345568707503,0.34762865893153944,0.6087069044109114,0.32250361364056246,0.38439011242589166,0.6652348154583397,0.6805810036780012,0.5112364083075247,2.245366058197575,1.1351073417494204,0.8866470978892446,3.2793146824893644,2.3076909070379092,1.5495172855455561,0.45903524382003513,4.184101035475599,0.8871798317484431
Sn,10.0,0.6551086446312021,10.0,10.0,10.0,2.020387801126851,30.144742471190987,34.16940000849494,3.3491378605844484,0.5208098303162507,10.220897083300489,0.4296994112478972,2.802439663344486,43.828370039641975,32.954298432630985,4.2203652999319745,0.606246461592731,6.567923890967174,0.08439920516787612,0.14072258785535888,0.5698685227123861,0.571786514888986,0.25174979323875735,0.2664701273740758,0.3116094218871738,0.8736947468630669,0.691795715470905,7.714668335348704,0.18794180681206502,0.6465116122467571,0.9125374364156746,10.40561006377182,4.177051306589362,4.965339894700152,9.028445698696345,0.20173880129353164,0.40424727633705376,6.625778447386732,1.6974585568564209,0.13591628711719414,0.13297955474378356,0.5880541610552593,2.587977750205863,0.3026808773881684,1.047707541365653,0.0,0.6327720967998196,0.29803193190237187,8.932900214044334,4.702418319636272,3.8239612454640044,5.313353699338503,3.7550830661152417,4.32597388445118,4.225148531193225,8.257922404554398,8.257922404554398,1.0928632615291383,3.850402059315054,9.64534073314222,1.7411569114362098,12.192735971064323,13.660855559521307,5.6360672430484025,3.6122035503991525,3.7709411088659723,0.5211719417710636,0.22011800219238448,5.013828367138839,0.5202754712308749,0.7468525222132729,0.4640630984029358,0.08858341645538871,0.8533131464373231,0.3634888630306211,1.3483140672106777,1.582448609326068,0.3359667442688898
Sb,10.0,0.8720618269861707,10.0,10.0,10.0,6.874491293597157,172.82415259674931,10.0,0.227369732274799,0.3845809109808158,1.1862316364803474,10.272042393244202,3.3780194577425497,3.682748745888195,4.537275833581369,0.4200602694213658,0.5124616290394997,1.309309653939795,0.4304569059229855,2.2318265024670296,0.3888366156396856,0.4286732305560709,0.5433941561265574,0.5908967966941138,0.5191068730252112,0.36590051760872344,2.977060655559016,3.7229997497075913,1.6536043004703314,0.19641198001872848,7.947029838224571,2.4889406534976284,6.560440833423408,34.64228291922345,1.3248357090485154,10.0,0.4872444720984475,0.15802012175534938,10.0,0.20826635689897705,0.5925626613856966,0.6515285950186958,1.021204702922558,0.890522414327845,0.4333455276187252,0.6327720967998196,0.0,3.5885834973925137,10.0,12.315910981388894,34.23358202821726,1.6740845022633573,1.0181483544490164,2.2503922244178427,0.7325187419484025,9.952484946723276,9.952484946723276,0.6105875011775689,0.8234969751152788,1.0195223216828648,0.6518442642591787,0.48886915331769004,0.44002387904137835,0.9637414336634094,1.0300045505631452,0.45439284109238076,5.267669071443136,0.21615873207434202,0.5637755885987421,0.36975759597145974,3.7521000338396666,0.8069855507978928,0.4357086993318835,0.6136243015911029,3.897021766234588,7.59322095797769,1.6114139646860022,1.1285318975278957
Te,10.0,1.327544939840319,2.3587891878075937,3.4537571149225896,1.6895908983173795,4.209601852914814,10.0,10.0,2.812513230366704,1.2939824082599707,1.497155346810622,0.6356864681140703,10.0,0.4176239774019602,14.592260014107229,2.5956091650619157,1.1306230734490024,0.6375964611498478,0.515420736190251,0.836624506771792,0.3504805521115448,0.524781910716393,1.2380094454667008,0.4831956571538389,0.5410949565054651,0.6937298147294119,0.7491732140253834,1.4791846766123802,1.3448972440790619,10.0,0.13485925206975627,10.0,20.20894069302563,1.4917281793963937,0.601135291102431,0.8965688997636072,1.6242513401481065,0.4335496440127998,2.6077654688207046,0.48134973424624683,1.6271054321029534,0.31149827269763525,3.8935809749646677,3.7444931807039774,3.976493616857113,0.29803193190237187,3.5885834973925137,0.0,1.3469556405758167,10.684995407598826,8.208756144678176,0.7738747533820702,2.0540386908998536,0.6398937302646562,0.762698071749444,1.218351331881237,1.218351331881237,1.407741497712938,0.8039476784774535,0.8857535916350664,1.1808880144281204,1.1194538234111568,1.7175770934818386,0.9159449988238199,1.3543186707829178,1.7702435133560912,0.46424830835030656,1.671283932210702,0.16696449118357473,0.3567818625738064,0.6629557761868373,0.2992795462653116,0.19707102827872752,2.003718805687404,2.060906415087687,2.1294828390144196,0.8395733132617935,1.1713072287969752
I,10.0,1.0429891281113612,10.0,10.0,10.0,1.520347419232294,1.64305585422871,1.4389930570257345,4.384818625623033,18.993465367707767,1.1946831063049277,2.613343879947642,10.0,0.6970881750804377,0.09484863351318912,1.6504351709540088,5.500028266282967,0.6930032384475192,7.7523654021524395,1.207556645705025,1.9378098051325496,1.1380013838112473,1.2928983310410833,1.1262075105547902,1.189291198370435,10.0,0.8317489420218187,0.9015318602021368,0.2891040014095017,10.0,1.8330357436995572,0.053764084707114315,2.6699797107249235,4.135003017187926,12.712751324712858,7.231191511526588,1.0609358771976276,0.34272044482134384,0.26612472521381886,1.3968939101739046,10.0,10.0,8.41126672690854,5.194370124043526,6.205323666132986,8.932900214044334,10.0,1.3469556405758167,0.0,2.1937846814728656,6.615214116868613,3.170021982891635,7.181122524394379,4.746286844865708,7.640222458415358,5.036222695260879,5.036222695260879,2.1552581290296966,6.724836883230512,3.2559906685946656,1.8202414992771332,2.563841365073038,2.5642937349337833,2.6426128245920957,1.8815274636581063,3.1793577480102972,2.049324732226034,10.0,0.49778536350231234,0.22114038080250306,10.0,10.0,10.0,10.0,10.0,1.243303647841262,0.5328404408600332,1.1382214239522652
Cs,10.0,1.1501391277604585,10.0,10.0,32.768345863978304,4.335654852967688,494.0133949269533,150.208360666998,1.4262235270868067,21.26834443085733,10.0,10.0,10.0,25.673990295119694,4.265113569257555,0.30142947360213135,1.0004685395894868,2.4885964762022565,2.9960052209326196,2.170762877156368,23.563097806776415,55.74554630078669,53.9791323802291,63.758593126169,4.559064919133059,70.89717490421779,76.4106838489424,0.7909034324478477,10.0,2.694952693631729,23.238311329131623,2.391622947623409,0.1625503745068167,0.37514706988213964,2.244240887742305,1.946213367593467,29.722626329387523,3.7701791114370136,10.0,10.0,30.444861164603207,10.0,1.3574852164133213,12.106794993915651,1.5189176166060185,4.702418319636272,12.315910981388894,10.684995407598826,2.1937846814728656,0.0,0.1741486496301435,0.9094114207099511,1.7310488727066324,0.960257687352506,0.8023835999077888,0.9441692243473601,0.9441692243473601,1.7332256364451901,1.0335220841487327,1.6308674910167662,1.2507811382182346,1.5228863754090736,1.0498125115578911,2.616751408740948,1.222039386065286,1.9340083305870814,2.5301430283182085,43.861002534388376,10.0,41.02845605188341,28.107422720652718,10.0,38.36541838968165,30.05740963350935,20.452814114277526,1.2160571013968686,0.5903462223229015,13.810954106121425
Ba,7.880373255091698,19.041748608380146,10.0,7.081354210440955,3.4530950071052913,8.543222821945012,160.70342413830616,10.0,3.911433805387348,6.917087077197306,10.0,39.13818907091057,10.0,17.284365710695187,40.97775493440043,0.40372744875737526,0.5161552833552163,4.144958744597778,2.879491616135239,45.1685084598654,5.011302112883916,7.163784969119717,10.610011988796643,6.258339643059495,7.7090373537383945,37.45011673483436,6.441017183892793,1.3109532529091472,9.651121719466996,35.86137934057957,11.093720363232823,5.032647266401687,0.24379358369542262,0.18511219182072236,3.050975200798478,2.108864329334735,3.233973390706707,11.439537052790165,18.73199310460897,10.0,15.519265148414815,12.004466952583762,2.6645303962873013,5.906921582167345,39.312476432267765,3.8239612454640044,34.23358202821726,8.208756144678176,6.615214116868613,0.1741486496301435,0.0,0.588655750197791,1.9316440075268768,0.8815975160710545,1.0722245047134698,0.9792915100304652,0.9792915100304652,1.6148598137439742,3.0112534369754282,4.948467953988302,2.5235388319626715,5.117834567024304,7.2819270795400035,5.217318518896661,5.547009973972248,7.5628314656400955,19.126403873644943,10.505664085484243,23.760934384817507,13.390634432602468,10.0,22.18939125341478,11.505560487668497,10.0,6.404305064944017,7.833146561068714,0.2390094594385401,3.5710847500710754
La,10.0,0.7059260591362294,9.723205283036089,0.830624475621659,0.73994848468192,2.0328179147809067,44.713789199688144,106.08574758187878,0.5578597825263296,2.0556746594605917,4.044226734657778,31.112823021537764,19.09111711787168,8.976685658699846,3.9501008648469447,0.6386000608766502,0.2781654315018265,0.6550859651782467,1.9534560037306494,1.5213695779165002,1.761127345486786,1.579139100394469,6.610880416879515,1.7846570613780055,1.513408936292201,8.775889959947598,1.9720287448224565,3.719569380543182,7.9900579308382715,2.67100540050429,4.640061276493508,3.334959376310172,0.8195211906735456,0.16317291074063764,0.34826542813221356,1.821819864688335,1.028880059949184,1.7137865425573071,10.0,1.2277984892006435,6.704839117592439,9.541208777525414,1.3547042809463288,1.5825431947625979,3.552842872146686,5.313353699338503,1.6740845022633573,0.7738747533820702,3.170021982891635,0.9094114207099511,0.588655750197791,0.0,0.19377062104746304,0.14686208923793362,0.1364528457887719,0.15489968569932805,0.15489968569932805,0.27057837197417217,0.24238080224745331,0.41545722490597986,0.3270999726404055,0.3133043397324372,0.40194255162140197,0.5037304040200087,0.4051221697170569,0.5559299452991396,1.7285379563751457,4.182193650023948,1.6161894332660043,1.3287892392852991,6.222218745691357,2.4444439171150103,8.44917493928373,10.0,1.4070267467546174,0.4162022520873718,1.2201883212461666,1.231136539134758
Ce,10.0,0.5540559578858884,10.0,10.0,10.0,1.0225578195757223,24.237357131215813,61.221773066164005,0.6215291632116976,5.747093704093238,4.357981342335888,4.032736745943531,0.8992630998570494,4.99787550239694,8.267616877410022,0.8221423574956904,0.5733069156945712,0.9118191412033531,3.2593810071656777,0.7123682290596919,1.0742461754402488,9.83881241381224,3.6381125917983286,5.8332917464168945,5.556619216819471,2.1122138177358156,5.149965529282533,0.7397404425818214,2.9581045095330945,1.4245374218605664,3.1702383078631056,6.162118846754883,0.49476131019970676,0.8927848562498801,0.6242682116106396,0.8559135644084799,1.073036713695889,2.9620733036849547,10.0,0.46829208524605853,1.721437570537939,0.9809021203144962,0.7954775732836897,2.2213860739433042,0.7375381087809074,3.7550830661152417,1.0181483544490164,2.0540386908998536,7.181122524394379,1.7310488727066324,1.9316440075268768,0.19377062104746304,0.0,0.1965760082062997,0.15768419887802235,0.21508706660773041,0.21508706660773041,0.2755383926405039,0.2620080533232043,0.39310425212303574,0.40095974657234523,0.5841923168542121,0.36528371782593183,0.6059299595260086,0.41755399446743047,0.7733830613561568,1.8628979782324988,2.231937615959148,2.511648638309452,2.063354617230823,1.5977985429963548,4.075477220047789,10.0,2.1202668804051887,4.901826920177631,0.5173623574237322,0.47449765511971564,0.9409539734770772
Pr,10.0,1.1239725099916338,6.165192733679041,3.832409018911658,1.9830962034249424,1.3394352083271641,27.44340846136075,10.0,0.5929865502933473,0.9858443158266589,3.9131310729488047,10.45614791825636,12.107404740500057,4.801242827567821,3.546336812536702,0.6434552278042697,0.31925817037586973,0.49349885786554243,2.3388823485376924,4.831507634356256,4.732128340809445,1.646230120405194,2.6095529225649234,1.8461849990719592,2.408931174291769,2.6668121675519623,2.2132408858377874,9.467519842170306,3.9794441003673717,2.8788157998268127,6.58958679835484,4.4223072900910205,0.47480031626956715,0.37802280087991524,0.283119476362552,1.155628093536776,1.1957623875664027,1.4913583482250585,10.0,1.1928732824341794,0.9881284639283198,3.2071101171446132,1.3442244916283126,1.308609656749547,1.9037019114710516,4.32597388445118,2.2503922244178427,0.6398937302646562,4.746286844865708,0.960257687352506,0.8815975160710545,0.14686208923793362,0.1965760082062997,0.0,0.17116759697547096,0.142048960625397,0.142048960625397,0.30738340951554727,0.21180035840557226,0.27605323663053466,0.38117169773838716,0.34892574080203503,0.44307685604339664,0.32790872271185695,0.2955809518871013,0.6618085810247276,0.7080576317845434,3.4050171574261205,4.793473234102972,1.7981682843465236,3.9459929761858974,1.550212058085467,1.8914324016431072,1.8480802201318824,1.292389538974381,0.4083666398483751,1.9416475814801801,1.148758542778502
Nd,10.0,0.5680217428895775,7.729270793615386,3.743128342461301,3.1901932258050314,1.3223152317682412,29.841831030941467,117.15723299535337,0.5903979746594485,1.051206227935282,2.7159151389149554,5.056596597609867,3.1474460692791575,5.578890556813613,3.619660771108696,0.5276998063416444,0.3541445672617718,0.5392480501391533,2.031262074221809,2.8475121506218084,2.5690294778719616,2.063519506316153,4.092176734874999,2.3141593089765444,1.2458049633002557,12.409745477822705,1.7007801037625656,4.750353809499301,10.0,1.6961129853073795,5.063813067241426,5.543281733771732,0.8045550999083281,0.3619512877195316,0.2482916619450653,1.6374925271852534,0.7173008635642791,1.6876203717688794,10.0,0.7883303251052305,5.329879978767167,7.58285199471601,1.1676992799806813,1.4941722397994117,1.32985177663385,4.225148531193225,0.7325187419484025,0.762698071749444,7.640222458415358,0.8023835999077888,1.0722245047134698,0.1364528457887719,0.15768419887802235,0.17116759697547096,0.0,0.14210936200974755,0.14210936200974755,0.25922618562769933,0.19852186599895863,0.23711348313651912,0.28527825825779685,0.24144802857918762,0.2832155786911884,0.3289646868205807,0.2772716947815478,0.43421138879048365,0.8875373598581717,1.0890754261002524,0.7710750065437884,4.599612655281766,2.7506376361369256,1.943162612040237,6.7165054308059275,6.564792820356694,1.2384492418570585,0.36183218349454543,0.850046186705581,1.133598352567528
Pm,10.0,0.8629599768520833,6.542917317881638,5.385123974399423,10.0,1.321228227272571,20.675713500144248,99.15710583136452,0.5545990711364437,1.170378158342368,4.152172037481003,5.216933949586507,1.9558931979497167,5.850508304930412,3.9274443719916032,0.6361829561951982,0.3425898048873783,0.6456866246402655,2.480975741199553,1.9773708305753228,2.174713231007715,1.9002218427715685,4.448578704957599,1.9589626788010663,2.15911516811168,3.985864379494844,1.8756131998804364,7.2310967355896905,8.611894416598071,2.3067042388920225,5.132902997740045,7.533798109162011,0.6559260600401335,0.5465786723498406,0.26091448942112005,0.9481408047732751,1.1224128557879307,1.3132422614435693,10.0,1.0776562378984074,4.511805181429592,6.418972107452022,1.4263389705549019,1.1366109493614782,1.1257349434232093,8.257922404554398,9.952484946723276,1.218351331881237,5.036222695260879,0.9441692243473601,0.9792915100304652,0.15489968569932805,0.21508706660773041,0.142048960625397,0.14210936200974755,0.0,0.05,0.23242779082540474,0.18572700225784383,0.2271606494154398,0.2710473866925889,0.22615324911097517,0.2704418182030464,0.3054875502185116,0.35660420189535935,0.32423549947149793,0.4635485989431333,1.845458062197886,0.7315856260934169,0.5060023297537829,10.0,2.057843260911933,5.6865663332653,5.557173215886972,1.9784339572302312,0.5081461679372712,1.7404958116257672,0.9925335848415501
